Nürnberg	420349	362459	458401	478181	484405	493692	4884	505664	509975	"186,38"	2736	"1,78"	1881	Bayern Bayern
Hannover	464646	444296	574672	521003	534623	51301	515001	522686	532163	"204,15"	2607	"1,63"	1875	Niedersachsen Niedersachsen
Essen	664523	605411	729462	696419	647643	626973	595243	574635	582624	"210,34"	277	"1,54"	1896	Nordrhein-Westfalen Nordrhein-Westfalen
Bonn	98702	115394	146889	275722	288148	292234	302247	324899	318809	"141,06"	226	"1,55"	1934	Nordrhein-Westfalen Nordrhein-Westfalen
Augsburg	180039	185183	206422	21323	248346	256877	254982	264708	286374	"146,84"	195	"1,87"	1909	Bayern Bayern
Dresden	629713	494187	493603	502432	516225	490571	477807	523058	543825	"328,31"	1656	"1,40"	1852	Sachsen Sachsen
Duisburg	43353	410783	503641	452721	558089	535447	514915	489599	491231	"232,80"	211	"1,19"	1903	Nordrhein-Westfalen Nordrhein-Westfalen
Bochum	305469	289804	36249	343809	400757	396486	391147	374737	364742	"145,66"	2504	"0,79"	1904	Nordrhein-Westfalen Nordrhein-Westfalen
Wuppertal	399718	363224	421378	417694	393381	38366	366434	349721	350046	"168,39"	2079	"1,34"	1884	Nordrhein-Westfalen Nordrhein-Westfalen
Bielefeld	126711	153613	174527	168609	312708	319037	321758	32327	33309	"258,82"	1287	"1,00"	1930	Nordrhein-Westfalen Nordrhein-Westfalen
Münster	13276	118496	180871	198878	269696	259438	265609	279803	310039	"303,28"	1022	"2,60"	1915	Nordrhein-Westfalen Nordrhein-Westfalen
Karlsruhe	184489	19884	24045	259091	271892	275061	278558	294761	307755	"173,46"	1774	"2,57"	1901	Baden-Württemberg Baden-Württemberg
Mannheim	280365	245634	311383	332378	304303	310411	306729	313174	30578	"144,96"	2109	"1,98"	1897	Baden-Württemberg Baden-Württemberg
Wiesbaden	165646	220741	257293	250715	274464	260301	270109	275976	276218	"203,92"	1355	"0,40"	1905	Hessen Hessen
Gelsenkirchen	317505	31546	388608	347074	304386	293714	278695	257981	260368	"104,94"	2481	"1,05"	1903	Nordrhein-Westfalen Nordrhein-Westfalen
Mönchengladbach	128418	124879	152414	151085	128329	259436	263014	257993	259996	"170,47"	1525	"1,22"	1921	Nordrhein-Westfalen Nordrhein-Westfalen
Braunschweig	189628	22376	242489	223275	261141	258833	245816	248867	251364	"192,17"	1308	"1,15"	1890	Niedersachsen Niedersachsen
Chemnitz	334713	293373	286329	299411	317644	294244	259246	243248	248645	"220,86"	1126	"2,10"	1883	Sachsen Sachsen
Kiel	261298	254449	27161	27107	250062	245567	232612	239526	246306	"118,65"	2076	"1,30"	1900	Schleswig-Holstein Schleswig-Holstein
Aachen	159631	129811	170367	175451	243947	241861	244386	258664	245885	"160,85"	1529	"1,05"	1888	Nordrhein-Westfalen Nordrhein-Westfalen
Halle (Saale)	21748	289119	277855	257261	232294	310234	247736	232963	236991	"135,02"	1755	"1,94"	1890	Sachsen-Anhalt Sachsen-Anhalt
Magdeburg	329824	260305	261594	272237	289032	278807	23145	231549	235723	"201,00"	1173	"1,47"	1882	Sachsen-Anhalt Sachsen-Anhalt
Freiburg im Breisgau	108487	109717	141637	163568	175106	191029	205102	224191	226393	"153,06"	1479	"1,89"	1934	Baden-Württemberg Baden-Württemberg
Krefeld	170205	171875	211479	222666	223969	24402	239916	235076	225144	"137,78"	1634	"1,19"	1888	Nordrhein-Westfalen Nordrhein-Westfalen
Lübeck	149502	238276	23214	239955	220588	214758	213399	210232	216253	"214,21"	101	"0,85"	1912	Schleswig-Holstein Schleswig-Holstein
Oberhausen	191829	202808	258626	246199	228947	22384	222151	212945	210934	"77,10"	2736	"0,78"	1914	Nordrhein-Westfalen Nordrhein-Westfalen
Erfurt	159201	18865	186448	195994	211575	208989	200564	204994	210118	"269,88"	779	"1,89"	1906	Thüringen Thüringen
Mainz	154033	88369	133089	174858	187392	179486	18287	199237	209779	"97,74"	2146	"1,35"	1908	Rheinland-Pfalz Rheinland-Pfalz
Rostock	118048	133109	15863	198636	232506	248088	200506	202735	206011	"181,26"	1137	"0,90"	1935	Mecklenburg-Vorpommern Mecklenburg-Vorpommern
Kassel	211624	162132	206354	214785	195912	194268	194766	19553	197984	"106,78"	1854	"1,66"	1899	Hessen Hessen
Hagen	151481	146401	1955	201042	218927	214449	203151	188526	189044	"160,45"	1178	"1,25"	1928	Nordrhein-Westfalen Nordrhein-Westfalen
Hamm	56684	59866	68775	84629	171869	179639	182427	181783	179397	"226,43"	792	"1,60"	1975	Nordrhein-Westfalen Nordrhein-Westfalen
Saarbrücken	131285	11145	129801	128251	193554	191694	183257	175741	178151	"167,09"	1066	"0,69"	1909	Saarland Saarland
Mülheim an der Ruhr	136828	149589	183979	192183	181279	177681	172862	167344	169278	"91,28"	1854	"1,30"	1908	Nordrhein-Westfalen Nordrhein-Westfalen
Potsdam	126241	11818	115004	111336	1309	139794	129324	156906	167745	"188,25"	891	"2,26"	1939	Brandenburg Brandenburg
Ludwigshafen am Rhein	143934	123869	164657	176257	159399	162233	163383	164177	164718	"77,55"	2124	"0,54"	1921	Rheinland-Pfalz Rheinland-Pfalz
Oldenburg	74141	122809	122337	131545	136764	143131	154832	162173	16383	"102,99"	1591	"1,82"	1946	Niedersachsen Niedersachsen
Leverkusen	49927	65531	9394	107626	160825	160919	161047	160772	163487	"78,87"	2073	"1,21"	1963	Nordrhein-Westfalen Nordrhein-Westfalen
Osnabrück	97918	109538	135821	144864	157367	163168	164101	164119	162403	"119,79"	1356	"3,51"	1939	Niedersachsen Niedersachsen
Solingen	140453	147845	170619	177124	166085	165401	164973	159927	158726	"89,54"	1773	"1,25"	1929	Nordrhein-Westfalen Nordrhein-Westfalen
Heidelberg	84273	116488	127595	121398	133227	136796	140259	147312	156267	"108,83"	1436	"1,00"	1946	Baden-Württemberg Baden-Württemberg
Herne	94639	111591	113252	103849	182542	178132	174529	164762	155851	"51,42"	3031	"0,80"	1933	Nordrhein-Westfalen Nordrhein-Westfalen
Neuss	59649	63478	9368	116013	149334	147019	150013	151388	155414	"99,52"	1562	"1,81"	1963	Nordrhein-Westfalen Nordrhein-Westfalen
Darmstadt	110552	94788	138736	141847	138201	13892	138242	144402	155353	"122,09"	1272	"2,29"	1937	Hessen Hessen
Paderborn	39955	4027	52773	68207	110155	12068	139084	146283	148126	"179,60"	825	"2,03"	1975	Nordrhein-Westfalen Nordrhein-Westfalen
Regensburg	90651	117291	123751	130888	132604	121691	125676	13552	145465	"80,70"	1803	"2,23"	1940	Bayern Bayern
Ingolstadt	3137	40523	5254	70594	9049	105489	115722	125088	132438	"133,37"	993	"1,10"	1989	Bayern Bayern
Würzburg	101345	78443	115541	116395	128652	127777	127966	133799	124873	"87,63"	1425	"0,53"	1932	Bayern Bayern
Fürth	78838	9989	98615	94415	99088	103362	110477	114628	124171	"63,35"	196	"2,18"	1950	Bayern Bayern
Wolfsburg	6797	25422	62577	90115	125935	12851	121805	121451	124045	"204,08"	608	"0,83"	1972	Niedersachsen Niedersachsen
Offenbach am Main	85128	8903	115051	118841	110993	114992	117535	120435	123734	"44,89"	2756	"2,27"	1954	Hessen Hessen
Ulm	68585	71132	90383	93158	100671	110529	117233	122801	122636	"118,69"	1033	"1,59"	1980	Baden-Württemberg Baden-Württemberg
Heilbronn	74214	64643	87203	1023	111938	115843	119305	122879	122567	"99,88"	1227	"2,27"	1970	Baden-Württemberg Baden-Württemberg
Göttingen	49668	7868	77785	109892	129656	121831	124132	12106	118914	"116,89"	1017	"1,06"	1964	Niedersachsen Niedersachsen
Bottrop	83381	93268	111246	106225	114571	118936	120611	116771	117143	"100,61"	1164	"0,97"	1953	Nordrhein-Westfalen Nordrhein-Westfalen
Pforzheim	7832	54143	81373	91104	1065	112944	117156	119781	122247	"98,00"	1247	"2,48"	1975	Baden-Württemberg Baden-Württemberg
Trier	81808	75526	8521	103598	95536	97835	9941	10526	114914	"117,13"	981	"5,94"	1969	Rheinland-Pfalz Rheinland-Pfalz
Reutlingen	37421	45735	66659	79705	95456	103687	11065	112484	11431	"87,06"	1313	"1,65"	1988	Baden-Württemberg Baden-Württemberg
Bremerhaven	110982	11407	141017	142919	138728	130446	120822	113366	114025	"93,82"	1215	"3,55"	1939	Bremen Bremen
Koblenz	86501	66444	97867	120079	113676	108733	10795	106417	112586	"105,13"	1071	"1,03"	1962	Rheinland-Pfalz Rheinland-Pfalz
